Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1789303548169152.424	,1789303548169152.424
0,N/A,MEMCPY_ASYNC,46,0,2.599,1789303548176913.209	,1789303548176915.809
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,22.999,1789303548177908.409	,1789303548177931.409
0,N/A,MEMCPY_ASYNC,46,2,1.279,1789303548177954.988	,1789303548177956.268
0,N/A,MEMCPY_ASYNC,46,3,2.599,1789303548178077.946	,1789303548178080.546
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,22.999,1789303548178085.745	,1789303548178108.745
0,N/A,MEMCPY_ASYNC,46,5,0.599,1789303548178110.125	,1789303548178110.725
0,N/A,MEMCPY_ASYNC,46,6,2.579,1789303548178173.264	,1789303548178175.844
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,19.239,1789303548178180.884	,1789303548178200.123
0,N/A,MEMCPY_ASYNC,46,8,0.599,1789303548178201.603	,1789303548178202.203
0,N/A,MEMCPY_ASYNC,46,9,2.599,1789303548178270.042	,1789303548178272.642
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,19.279,1789303548178277.622	,1789303548178296.901
0,N/A,MEMCPY_ASYNC,46,11,0.739,1789303548178298.381	,1789303548178299.121
0,N/A,MEMCPY_ASYNC,46,12,2.579,1789303548178364.260	,1789303548178366.840
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,13,18.119,1789303548178372.140	,1789303548178390.259
0,N/A,MEMCPY_ASYNC,46,14,0.599,1789303548178391.639	,1789303548178392.239
0,N/A,MEMCPY_ASYNC,46,15,2.599,1789303548178482.138	,1789303548178484.737
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,16,17.259,1789303548178489.857	,1789303548178507.117
0,N/A,MEMCPY_ASYNC,46,17,0.599,1789303548178508.757	,1789303548178509.357
0,N/A,MEMCPY_ASYNC,46,18,2.599,1789303548178606.415	,1789303548178609.015
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,19,16.839,1789303548178614.015	,1789303548178630.855
0,N/A,MEMCPY_ASYNC,46,20,0.599,1789303548178632.315	,1789303548178632.914
0,N/A,MEMCPY_ASYNC,46,21,2.599,1789303548178725.813	,1789303548178728.413
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,22,16.979,1789303548178733.392	,1789303548178750.372
0,N/A,MEMCPY_ASYNC,46,23,0.599,1789303548178752.292	,1789303548178752.892
0,N/A,MEMCPY_ASYNC,46,24,2.579,1789303548178848.390	,1789303548178850.970
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,25,16.619,1789303548178856.410	,1789303548178873.030
0,N/A,MEMCPY_ASYNC,46,26,0.599,1789303548178874.670	,1789303548178875.270
0,N/A,MEMCPY_ASYNC,46,27,2.599,1789303548178968.208	,1789303548178970.808
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,28,16.039,1789303548178975.688	,1789303548178991.727
0,N/A,MEMCPY_ASYNC,46,29,0.599,1789303548178993.367	,1789303548178993.967
0,N/A,MEMCPY_ASYNC,46,30,2.599,1789303548179086.065	,1789303548179088.665
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,31,16.699,1789303548179093.925	,1789303548179110.625
0,N/A,MEMCPY_ASYNC,46,32,0.619,1789303548179112.205	,1789303548179112.825
0,N/A,MEMCPY_ASYNC,46,33,2.599,1789303548179207.203	,1789303548179209.803
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,34,16.779,1789303548179215.063	,1789303548179231.843
0,N/A,MEMCPY_ASYNC,46,35,0.599,1789303548179233.362	,1789303548179233.962
0,N/A,MEMCPY_ASYNC,46,36,2.599,1789303548179328.761	,1789303548179331.361
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,37,16.519,1789303548179336.860	,1789303548179353.380
0,N/A,MEMCPY_ASYNC,46,38,0.599,1789303548179355.160	,1789303548179355.760
0,N/A,MEMCPY_ASYNC,46,39,2.579,1789303548179452.398	,1789303548179454.978
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,40,16.519,1789303548179460.378	,1789303548179476.898
0,N/A,MEMCPY_ASYNC,46,41,0.599,1789303548179478.678	,1789303548179479.278
0,N/A,MEMCPY_ASYNC,46,42,2.579,1789303548179572.356	,1789303548179574.936
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,43,16.259,1789303548179580.376	,1789303548179596.635
0,N/A,MEMCPY_ASYNC,46,44,0.599,1789303548179598.075	,1789303548179598.675
0,N/A,PROFILING_DISABLE,49,4,0.000,1789303548180865.770	,1789303548180865.770
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1789303548180918.589	,1789303548180918.589
