Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1789303596260323.804	,1789303596260323.824
0,N/A,MEMCPY_ASYNC,46,0,2.579,1789303596268025.171	,1789303596268027.750
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,19.579,1789303596269054.930	,1789303596269074.510
0,N/A,MEMCPY_ASYNC,46,2,1.179,1789303596269113.369	,1789303596269114.549
0,N/A,MEMCPY_ASYNC,46,3,2.599,1789303596269206.307	,1789303596269208.907
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,18.179,1789303596269214.227	,1789303596269232.406
0,N/A,MEMCPY_ASYNC,46,5,0.599,1789303596269233.606	,1789303596269234.206
0,N/A,MEMCPY_ASYNC,46,6,2.619,1789303596269307.365	,1789303596269309.985
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,15.699,1789303596269315.265	,1789303596269330.964
0,N/A,MEMCPY_ASYNC,46,8,0.579,1789303596269331.624	,1789303596269332.204
0,N/A,MEMCPY_ASYNC,46,9,2.619,1789303596269416.123	,1789303596269418.743
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,14.779,1789303596269423.963	,1789303596269438.742
0,N/A,MEMCPY_ASYNC,46,11,0.599,1789303596269439.722	,1789303596269440.322
0,N/A,MEMCPY_ASYNC,46,12,2.599,1789303596269515.141	,1789303596269517.741
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,13,14.799,1789303596269523.141	,1789303596269537.940
0,N/A,MEMCPY_ASYNC,46,14,0.599,1789303596269538.880	,1789303596269539.480
0,N/A,MEMCPY_ASYNC,46,15,2.619,1789303596269637.898	,1789303596269640.518
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,16,13.259,1789303596269646.018	,1789303596269659.278
0,N/A,MEMCPY_ASYNC,46,17,0.599,1789303596269659.958	,1789303596269660.558
0,N/A,MEMCPY_ASYNC,46,18,2.599,1789303596269755.536	,1789303596269758.136
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,19,13.139,1789303596269763.096	,1789303596269776.236
0,N/A,MEMCPY_ASYNC,46,20,0.599,1789303596269777.016	,1789303596269777.615
0,N/A,MEMCPY_ASYNC,46,21,2.619,1789303596269869.474	,1789303596269872.094
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,22,12.599,1789303596269877.574	,1789303596269890.173
0,N/A,MEMCPY_ASYNC,46,23,0.619,1789303596269890.893	,1789303596269891.513
0,N/A,MEMCPY_ASYNC,46,24,2.619,1789303596269983.131	,1789303596269985.751
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,25,12.899,1789303596269990.891	,1789303596270003.791
0,N/A,MEMCPY_ASYNC,46,26,0.579,1789303596270004.811	,1789303596270005.391
0,N/A,MEMCPY_ASYNC,46,27,2.579,1789303596270097.509	,1789303596270100.089
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,28,12.459,1789303596270105.109	,1789303596270117.569
0,N/A,MEMCPY_ASYNC,46,29,0.599,1789303596270118.449	,1789303596270119.049
0,N/A,MEMCPY_ASYNC,46,30,2.619,1789303596270606.939	,1789303596270609.559
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,31,13.539,1789303596270614.439	,1789303596270627.979
0,N/A,MEMCPY_ASYNC,46,32,0.599,1789303596270628.978	,1789303596270629.578
