Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1789303628386414.223	,1789303628386414.223
0,N/A,MEMCPY_ASYNC,46,0,2.579,1789303628394389.804	,1789303628394392.384
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,19.499,1789303628395385.384	,1789303628395404.884
0,N/A,MEMCPY_ASYNC,46,2,1.259,1789303628395430.503	,1789303628395431.763
0,N/A,MEMCPY_ASYNC,46,3,2.579,1789303628395563.060	,1789303628395565.640
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,17.999,1789303628395570.880	,1789303628395588.880
0,N/A,MEMCPY_ASYNC,46,5,0.599,1789303628395589.680	,1789303628395590.280
0,N/A,MEMCPY_ASYNC,46,6,2.579,1789303628395662.358	,1789303628395664.938
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,15.219,1789303628395670.158	,1789303628395685.378
0,N/A,MEMCPY_ASYNC,46,8,0.619,1789303628395686.498	,1789303628395687.118
0,N/A,MEMCPY_ASYNC,46,9,2.599,1789303628395759.556	,1789303628395762.156
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,14.839,1789303628395767.476	,1789303628395782.316
0,N/A,MEMCPY_ASYNC,46,11,0.599,1789303628395783.216	,1789303628395783.816
0,N/A,MEMCPY_ASYNC,46,12,2.619,1789303628395855.395	,1789303628395858.014
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,13,14.959,1789303628395863.054	,1789303628395878.014
0,N/A,MEMCPY_ASYNC,46,14,0.619,1789303628395878.814	,1789303628395879.434
0,N/A,MEMCPY_ASYNC,46,15,2.599,1789303628395971.352	,1789303628395973.952
