Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694575551.362	,62.399,0,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,62.045,102375,1.635,0.026,58.987,0.951,3.469,0.056,25.461,0.41,25.396,0.409,0.019,51.844,171086,0.738,0.014,9.346,0.18,1.466,0.028,2.111,0.041,0.03,4.972
0,4294967295,4,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694575721.459	,58.119,107.851000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,57.725,95246,1.622,0.028,55.393,0.96,3.47,0.06,23.837,0.413,23.052,0.399,0.02,48.027,158488,0.738,0.015,8.752,0.182,0.886,0.018,1.912,0.04,0.03,4.966
0,4294967295,7,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694575860.796	,59.419,81.131000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,59.034,97406,1.625,0.028,56.671,0.96,3.481,0.059,24.715,0.419,24.466,0.414,0.019,49.411,163056,0.738,0.015,8.739,0.177,0.898,0.018,1.979,0.04,0.03,4.968
0,4294967295,10,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694575998.533	,58.359,78.331000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,57.942,95604,1.622,0.028,55.432,0.957,3.479,0.06,23.858,0.412,22.732,0.392,0.02,42.914,141616,0.738,0.017,8.365,0.195,0.887,0.021,1.945,0.045,0.03,4.964
0,4294967295,13,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694576136.211	,59.418,79.391000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,58.995,97341,1.635,0.028,56.49,0.958,3.475,0.059,25.248,0.428,24.097,0.408,0.02,49.339,162819,0.738,0.015,8.339,0.169,0.862,0.017,1.926,0.039,0.03,4.964
0,4294967295,16,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694576303.627	,59.819,108.082000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,59.358,97940,1.631,0.027,56.814,0.957,3.478,0.059,25.17,0.424,23.944,0.403,0.02,49.615,163729,0.738,0.015,8.692,0.175,0.877,0.018,1.933,0.039,0.03,4.961
0,4294967295,19,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694576474.544	,57.859,110.931000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,57.527,94919,1.635,0.028,54.977,0.956,3.47,0.06,23.905,0.416,23.765,0.413,0.018,48.026,158487,0.738,0.015,8.736,0.182,0.898,0.019,1.921,0.04,0.031,4.971
0,4294967295,22,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694576641.440	,57.099,109.141000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,56.736,93615,1.622,0.029,54.219,0.956,3.47,0.061,23.433,0.413,22.812,0.402,0.018,47.206,155780,0.738,0.016,8.615,0.183,0.881,0.019,1.956,0.041,0.031,4.968
0,4294967295,25,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694576827.937	,58.239,129.401000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,57.85,95453,1.622,0.028,55.199,0.954,3.478,0.06,24.225,0.419,23.542,0.407,0.018,48.357,159578,0.738,0.015,8.622,0.178,0.884,0.018,2.08,0.043,0.03,4.967
0,4294967295,28,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694576992.393	,57.119,106.261000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,56.725,93596,1.635,0.029,54.101,0.954,3.483,0.061,23.108,0.407,22.781,0.402,0.019,47.615,157130,0.738,0.016,8.351,0.175,0.876,0.018,1.829,0.038,0.03,4.965
0,4294967295,31,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694577161.910	,57.679,112.381000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,57.284,94519,1.634,0.029,54.599,0.953,3.478,0.061,24.454,0.427,24.012,0.419,0.018,48.021,158469,0.738,0.015,8.044,0.168,0.865,0.018,1.616,0.034,0.03,4.966
0,4294967295,34,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694577333.467	,58.438,113.821000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,58.044,95772,1.633,0.028,55.347,0.954,3.472,0.06,24.382,0.42,24.219,0.417,0.019,48.603,160391,0.738,0.015,8.059,0.166,0.868,0.018,1.6,0.033,0.031,4.966
0,4294967295,37,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694577510.983	,56.259,119.062000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,55.939,92300,1.621,0.029,53.454,0.956,3.477,0.062,23.582,0.422,22.756,0.407,0.019,46.886,154725,0.738,0.016,8.392,0.179,0.875,0.019,1.576,0.034,0.03,4.972
0,4294967295,40,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694577677.160	,56.259,109.991000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,55.933,92290,1.622,0.029,53.419,0.955,3.473,0.062,22.787,0.407,22.715,0.406,0.019,46.877,154694,0.738,0.016,8.229,0.176,0.87,0.019,1.583,0.034,0.03,4.971
0,4294967295,43,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303694577852.876	,58.559,119.491000,1,2,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,58.198,96026,1.635,0.028,55.594,0.955,3.48,0.06,24.452,0.42,23.976,0.412,0.018,48.938,161497,0.738,0.015,8.027,0.164,0.871,0.018,1.647,0.034,0.03,4.969
