Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1789312897288899.376	,1789312897288899.376
0,N/A,MEMCPY_ASYNC,46,0,2.599,1789312897296313.867	,1789312897296316.467
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,31.779,1789312897297331.047	,1789312897297362.827
0,N/A,MEMCPY_ASYNC,46,2,1.299,1789312897297384.466	,1789312897297385.766
0,N/A,MEMCPY_ASYNC,46,3,2.639,1789312897297480.964	,1789312897297483.604
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,29.279,1789312897297488.844	,1789312897297518.123
0,N/A,MEMCPY_ASYNC,46,5,0.619,1789312897297519.163	,1789312897297519.783
0,N/A,MEMCPY_ASYNC,46,6,2.619,1789312897297641.661	,1789312897297644.281
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,29.439,1789312897297649.621	,1789312897297679.060
0,N/A,MEMCPY_ASYNC,46,8,0.539,1789312897297680.020	,1789312897297680.560
0,N/A,MEMCPY_ASYNC,46,9,2.599,1789312897297748.459	,1789312897297751.059
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,31.479,1789312897297756.239	,1789312897297787.718
0,N/A,MEMCPY_ASYNC,46,11,0.559,1789312897297788.458	,1789312897297789.018
0,N/A,MEMCPY_ASYNC,46,12,2.599,1789312897297856.817	,1789312897297859.417
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,13,30.279,1789312897297864.717	,1789312897297894.996
0,N/A,MEMCPY_ASYNC,46,14,0.559,1789312897297895.676	,1789312897297896.236
0,N/A,MEMCPY_ASYNC,46,15,2.619,1789312897297990.394	,1789312897297993.014
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,16,29.539,1789312897297997.994	,1789312897298027.533
0,N/A,MEMCPY_ASYNC,46,17,0.539,1789312897298028.353	,1789312897298028.893
0,N/A,MEMCPY_ASYNC,46,18,2.639,1789312897298128.591	,1789312897298131.231
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,19,29.519,1789312897298136.231	,1789312897298165.750
0,N/A,MEMCPY_ASYNC,46,20,0.579,1789312897298166.570	,1789312897298167.150
0,N/A,MEMCPY_ASYNC,46,21,2.619,1789312897298261.829	,1789312897298264.449
