Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1789312870341395.428	,1789312870341395.448
0,N/A,MEMCPY_ASYNC,46,0,2.639,1789312870348646.583	,1789312870348649.223
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,31.979,1789312870349686.242	,1789312870349718.221
0,N/A,MEMCPY_ASYNC,46,2,1.319,1789312870349735.441	,1789312870349736.761
0,N/A,MEMCPY_ASYNC,46,3,2.619,1789312870349857.278	,1789312870349859.898
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,30.019,1789312870349865.278	,1789312870349895.298
0,N/A,MEMCPY_ASYNC,46,5,0.559,1789312870349896.258	,1789312870349896.818
0,N/A,MEMCPY_ASYNC,46,6,2.619,1789312870349965.076	,1789312870349967.696
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,29.679,1789312870349973.156	,1789312870350002.836
0,N/A,MEMCPY_ASYNC,46,8,0.559,1789312870350003.496	,1789312870350004.056
0,N/A,MEMCPY_ASYNC,46,9,2.619,1789312870350071.674	,1789312870350074.294
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,29.779,1789312870350079.854	,1789312870350109.633
0,N/A,MEMCPY_ASYNC,46,11,0.559,1789312870350110.833	,1789312870350111.393
0,N/A,MEMCPY_ASYNC,46,12,2.619,1789312870350178.852	,1789312870350181.472
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,13,29.759,1789312870350186.552	,1789312870350216.311
0,N/A,MEMCPY_ASYNC,46,14,0.559,1789312870350217.531	,1789312870350218.091
0,N/A,MEMCPY_ASYNC,46,15,2.619,1789312870350312.649	,1789312870350315.269
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,16,30.299,1789312870350320.609	,1789312870350350.909
0,N/A,MEMCPY_ASYNC,46,17,0.559,1789312870350352.169	,1789312870350352.729
0,N/A,MEMCPY_ASYNC,46,18,2.639,1789312870350452.307	,1789312870350454.947
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,19,29.379,1789312870350459.866	,1789312870350489.246
0,N/A,MEMCPY_ASYNC,46,20,0.539,1789312870350490.206	,1789312870350490.746
0,N/A,MEMCPY_ASYNC,46,21,2.639,1789312870350723.961	,1789312870350726.601
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,22,29.179,1789312870350731.401	,1789312870350760.580
0,N/A,MEMCPY_ASYNC,46,23,0.579,1789312870350761.760	,1789312870350762.340
0,N/A,MEMCPY_ASYNC,46,24,2.639,1789312870350858.618	,1789312870350861.258
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,25,29.619,1789312870350866.038	,1789312870350895.658
0,N/A,MEMCPY_ASYNC,46,26,0.539,1789312870350896.398	,1789312870350896.938
0,N/A,MEMCPY_ASYNC,46,27,2.619,1789312870350993.016	,1789312870350995.636
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,28,30.159,1789312870351000.676	,1789312870351030.835
0,N/A,MEMCPY_ASYNC,46,29,0.559,1789312870351031.675	,1789312870351032.235
0,N/A,MEMCPY_ASYNC,46,30,2.639,1789312870351129.393	,1789312870351132.033
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,31,30.339,1789312870351137.173	,1789312870351167.512
0,N/A,MEMCPY_ASYNC,46,32,0.559,1789312870351168.752	,1789312870351169.312
0,N/A,MEMCPY_ASYNC,46,33,2.639,1789312870351345.609	,1789312870351348.249
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,34,30.279,1789312870351353.849	,1789312870351384.128
0,N/A,MEMCPY_ASYNC,46,35,0.559,1789312870351384.828	,1789312870351385.388
0,N/A,MEMCPY_ASYNC,46,36,2.619,1789312870351483.326	,1789312870351485.946
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,37,30.499,1789312870351491.306	,1789312870351521.805
0,N/A,MEMCPY_ASYNC,46,38,0.539,1789312870351522.845	,1789312870351523.385
