Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,729.02,1,729.02,729.02,729.02,0
host,acl,aclrtCreateStream,1486.06,1,1486.06,1486.06,1486.06,0
host,acl,aclrtDestroyStream,775.69,1,775.69,775.69,775.69,0
host,acl,aclrtFree,9.42,3,3.14,1.69,6.03,4.176
host,acl,aclrtGetDeviceInfo,9.26,2,4.63,2.95,6.31,2.822
host,acl,aclrtLaunchKernelWithHostArgs,313.43,1,313.43,313.43,313.43,0
host,acl,aclrtMalloc,102.54,4,25.635,1.59,91.26,1441.08
host,acl,aclrtMemcpy,161.92,6,26.987,13.86,40.25,115.241
host,acl,aclrtMemcpyAsync,8.25,1,8.25,8.25,8.25,0
host,acl,aclrtMemsetAsync,26.7,1,26.7,26.7,26.7,0
host,acl,aclrtResetDevice,472206.15,1,472206.15,472206.15,472206.15,0
host,acl,aclrtSynchronizeStream,14.37,2,7.185,1.27,13.1,34.987
host,node,launch,1196.82,1,1196.82,1196.82,1196.82,0
