Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,765.38,1,765.38,765.38,765.38,0
host,acl,aclrtCreateStream,1567.64,1,1567.64,1567.64,1567.64,0
host,acl,aclrtDestroyStream,822.32,1,822.32,822.32,822.32,0
host,acl,aclrtFree,9.5,3,3.167,1.73,5.92,3.793
host,acl,aclrtGetDeviceInfo,9.9,2,4.95,3.16,6.74,3.204
host,acl,aclrtLaunchKernelWithHostArgs,329.53,1,329.53,329.53,329.53,0
host,acl,aclrtMalloc,90.32,4,22.58,1.6,78.45,1047.545
host,acl,aclrtMemcpy,137.54,6,22.923,12.61,39.52,65.863
host,acl,aclrtMemcpyAsync,8.25,1,8.25,8.25,8.25,0
host,acl,aclrtMemsetAsync,25.03,1,25.03,25.03,25.03,0
host,acl,aclrtResetDevice,379808.91,1,379808.91,379808.91,379808.91,0
host,acl,aclrtSynchronizeStream,16.13,2,8.065,1.48,14.65,43.362
host,node,launch,1250.09,1,1250.09,1250.09,1250.09,0
