Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,769.4,1,769.4,769.4,769.4,0
host,acl,aclrtCreateStream,1332.58,1,1332.58,1332.58,1332.58,0
host,acl,aclrtDestroyStream,824.62,1,824.62,824.62,824.62,0
host,acl,aclrtFree,9.49,3,3.163,1.61,5.98,3.981
host,acl,aclrtGetDeviceInfo,9.4,2,4.7,3.42,5.98,1.638
host,acl,aclrtLaunchKernelWithHostArgs,310.53,1,310.53,310.53,310.53,0
host,acl,aclrtMalloc,85.12,4,21.28,1.6,70.03,807.809
host,acl,aclrtMemcpy,161.1,6,26.85,13.78,42.72,122.735
host,acl,aclrtMemcpyAsync,8.07,1,8.07,8.07,8.07,0
host,acl,aclrtMemsetAsync,22.62,1,22.62,22.62,22.62,0
host,acl,aclrtResetDevice,391433.5,1,391433.5,391433.5,391433.5,0
host,acl,aclrtSynchronizeStream,15.34,2,7.67,1.41,13.93,39.188
host,node,launch,1238.39,1,1238.39,1238.39,1238.39,0
