Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,783.79,1,783.79,783.79,783.79,0
host,acl,aclrtCreateStream,1544.73,1,1544.73,1544.73,1544.73,0
host,acl,aclrtDestroyStream,873.04,1,873.04,873.04,873.04,0
host,acl,aclrtFree,855.02,3,285.007,2.74,838.78,153351.749
host,acl,aclrtGetDeviceInfo,10.53,2,5.265,4.43,6.1,0.697
host,acl,aclrtLaunchKernelWithHostArgs,306.22,1,306.22,306.22,306.22,0
host,acl,aclrtMalloc,230.39,4,57.598,2.62,147.92,3314.076
host,acl,aclrtMemcpy,63775.32,6,10629.22,14.84,33021.95,225586594.786
host,acl,aclrtMemcpyAsync,8.33,1,8.33,8.33,8.33,0
host,acl,aclrtMemsetAsync,27.72,2,13.86,5.81,21.91,64.803
host,acl,aclrtResetDevice,503881.37,1,503881.37,503881.37,503881.37,0
host,acl,aclrtSynchronizeStream,414.92,2,207.46,4.53,410.39,41180.585
host,node,launch,1252.43,1,1252.43,1252.43,1252.43,0
