Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,766.23,1,766.23,766.23,766.23,0
host,acl,aclrtCreateStream,1502.59,1,1502.59,1502.59,1502.59,0
host,acl,aclrtDestroyStream,802.51,1,802.51,802.51,802.51,0
host,acl,aclrtFree,837.41,3,279.137,2.79,823.36,148101.475
host,acl,aclrtGetDeviceInfo,11.78,2,5.89,4.5,7.28,1.932
host,acl,aclrtLaunchKernelWithHostArgs,326.24,1,326.24,326.24,326.24,0
host,acl,aclrtMalloc,230.39,4,57.598,2.63,145.97,3284.608
host,acl,aclrtMemcpy,61311.53,6,10218.588,14.66,30760.05,208085293.126
host,acl,aclrtMemcpyAsync,8.99,1,8.99,8.99,8.99,0
host,acl,aclrtMemsetAsync,31.64,2,15.82,5.6,26.04,104.448
host,acl,aclrtResetDevice,402142.5,1,402142.5,402142.5,402142.5,0
host,acl,aclrtSynchronizeStream,406.7,2,203.35,3.07,403.63,40112.078
host,node,launch,1256.17,1,1256.17,1256.17,1256.17,0
