Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,609.22,1,609.22,609.22,609.22,0
host,acl,aclrtCreateStream,1678.5,1,1678.5,1678.5,1678.5,0
host,acl,aclrtDestroyStream,921.57,1,921.57,921.57,921.57,0
host,acl,aclrtFree,9.09,3,3.03,1.79,5.42,2.857
host,acl,aclrtGetDeviceInfo,36.96,16,2.31,1.36,9.51,3.852
host,acl,aclrtLaunchKernelWithHostArgs,382.19,15,25.479,4.69,308.14,5707.011
host,acl,aclrtMalloc,88.8,4,22.2,1.64,74.57,927.475
host,acl,aclrtMemcpy,365.51,24,15.23,11.69,37.95,33.306
host,acl,aclrtMemcpyAsync,44.28,15,2.952,2.38,7.95,1.832
host,acl,aclrtMemsetAsync,171.01,15,11.401,7.84,31.83,45.701
host,acl,aclrtResetDevice,480313.44,1,480313.44,480313.44,480313.44,0
host,acl,aclrtSynchronizeStream,1040.95,16,65.059,1.3,181.32,1325.217
host,node,launch,1377.85,15,91.857,21.35,1067.21,67951.86
