Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303516902486.895	,22.599,0,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,21.429,282860,0.228,0.011,17.962,0.838,0.412,0.019,3.156,0.147,4.202,0.196,0.061,17.4,459369,0.326,0.019,5.854,0.336,0.194,0.011,0.88,0.051,0.069,37.929
0,4294967295,4,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303516902680.511	,21.939,170.901000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,20.105,265381,0.228,0.011,17.231,0.857,0.412,0.02,3.048,0.152,3.932,0.196,0.064,16.469,434773,0.326,0.02,5.069,0.308,0.197,0.012,0.803,0.049,0.069,36.655
0,4294967295,7,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303516902777.489	,18.720,75.061000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,17.179,226769,0.228,0.013,16.39,0.954,0.412,0.024,2.895,0.169,3.587,0.209,0.032,13.642,360146,0.326,0.024,5.311,0.389,0.191,0.014,0.7,0.051,0.035,36.708
0,4294967295,10,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303516902877.267	,18.760,81.030000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,17.062,225224,0.228,0.013,16.548,0.97,0.412,0.024,2.717,0.159,3.529,0.207,0.0,13.419,354269,0.326,0.024,5.032,0.375,0.182,0.014,0.7,0.052,0.0,36.380
0,4294967295,13,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303516902972.945	,17.920,76.990000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,16.897,223039,0.228,0.013,16.344,0.967,0.412,0.024,2.849,0.169,3.589,0.212,0.0,13.338,352131,0.326,0.024,5.195,0.389,0.176,0.013,0.688,0.052,0.0,37.716
0,4294967295,16,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303516903095.423	,16.819,104.580000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,15.202,200672,0.228,0.015,14.693,0.966,0.412,0.027,0.863,0.057,1.641,0.108,0.0,11.654,307671,0.326,0.028,5.02,0.431,0.18,0.015,0.701,0.06,0.0,36.155
0,4294967295,19,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303516903221.240	,16.440,108.931000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,15.281,201707,0.228,0.015,14.783,0.967,0.412,0.027,0.863,0.056,1.676,0.11,0.0,11.705,309009,0.326,0.028,5.092,0.435,0.181,0.015,0.724,0.062,0.0,37.180
0,4294967295,22,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303516903343.558	,16.179,105.810000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,15.183,200411,0.228,0.015,14.671,0.966,0.412,0.027,0.86,0.057,1.809,0.119,0.0,11.668,308027,0.326,0.028,5.036,0.432,0.175,0.015,0.671,0.057,0.0,37.537
0,4294967295,25,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303516903532.374	,16.620,172.571000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,15.215,200840,0.228,0.015,14.688,0.965,0.412,0.027,0.873,0.057,1.563,0.103,0.0,11.685,308477,0.326,0.028,5.065,0.433,0.181,0.015,0.691,0.059,0.0,36.619
0,4294967295,28,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303516903653.531	,16.360,104.630000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,15.204,200698,0.228,0.015,14.705,0.967,0.412,0.027,0.869,0.057,1.749,0.115,0.0,11.64,307296,0.326,0.028,5.183,0.445,0.178,0.015,0.689,0.059,0.0,37.175
