Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1789303523935059.248	,1789303523935059.268
0,N/A,MEMCPY_ASYNC,46,0,2.599,1789303523942841.632	,1789303523942844.232
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,24.059,1789303523943833.932	,1789303523943857.992
0,N/A,MEMCPY_ASYNC,46,2,1.199,1789303523943885.371	,1789303523943886.571
0,N/A,MEMCPY_ASYNC,46,3,2.579,1789303523943979.070	,1789303523943981.650
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,21.739,1789303523943987.029	,1789303523944008.769
0,N/A,MEMCPY_ASYNC,46,5,0.599,1789303523944010.229	,1789303523944010.829
0,N/A,MEMCPY_ASYNC,46,6,2.579,1789303523944075.268	,1789303523944077.848
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,19.479,1789303523944083.368	,1789303523944102.847
0,N/A,MEMCPY_ASYNC,46,8,0.599,1789303523944104.727	,1789303523944105.327
0,N/A,MEMCPY_ASYNC,46,9,2.599,1789303523944175.166	,1789303523944177.766
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,19.119,1789303523944183.186	,1789303523944202.305
0,N/A,MEMCPY_ASYNC,46,11,0.579,1789303523944203.905	,1789303523944204.485
0,N/A,MEMCPY_ASYNC,46,12,2.579,1789303523944270.904	,1789303523944273.484
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb0ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,13,18.299,1789303523944278.924	,1789303523944297.223
0,N/A,MEMCPY_ASYNC,46,14,0.619,1789303523944299.043	,1789303523944299.663
0,N/A,MEMCPY_ASYNC,46,15,2.599,1789303523944397.261	,1789303523944399.861
