Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_l2_read_bw(GB/s),aic_l2_write_bw(GB/s),aiv_time(us),aiv_total_cycles,aiv_ub_read_bw(GB/s),aiv_ub_write_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_l2_read_bw(GB/s),aiv_l2_write_bw(GB/s)
0,4294967295,1,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303602263196.633	,19.999,0,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,18.366,242426,15.033,2.505,0.158,0.137,0.0,0.0,15.322,404494,0.56,1.634,0.047,0.003,0.0,0.0
0,4294967295,4,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303602263373.749	,17.880,157.001000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,16.261,214650,16.978,2.83,0.172,0.154,0.0,0.0,13.454,355175,0.638,1.861,0.054,0.004,0.0,0.0
0,4294967295,7,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303602263471.767	,15.420,80.120000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,13.807,182253,19.996,3.333,0.163,0.182,0.0,0.0,11.06,291979,0.776,2.258,0.048,0.005,0.0,0.0
0,4294967295,10,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303602263560.766	,15.219,73.580000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,13.81,182291,19.992,3.332,0.122,0.182,0.0,0.0,11.071,292268,0.775,2.251,0.03,0.005,0.0,0.0
0,4294967295,13,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303602263655.744	,15.039,79.781000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,13.446,177481,20.534,3.422,0.126,0.187,0.0,0.0,10.72,283015,0.801,2.324,0.031,0.005,0.0,0.0
0,4294967295,16,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303602263776.261	,13.480,105.461000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,11.415,150676,24.187,4.031,0.136,0.22,0.0,0.0,8.789,232033,0.977,2.835,0.038,0.006,0.0,0.0
0,4294967295,19,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303602263899.739	,13.239,110.020000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,11.491,151687,24.026,4.004,0.135,0.218,0.0,0.0,8.807,232495,0.975,2.829,0.038,0.006,0.0,0.0
0,4294967295,22,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303602264015.596	,12.640,102.511000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,11.24,148365,24.564,4.094,0.138,0.223,0.0,0.0,8.621,227599,0.996,2.89,0.039,0.006,0.0,0.0
0,4294967295,25,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303602264131.994	,13.300,103.860000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,11.675,154108,23.648,3.941,0.134,0.215,0.0,0.0,8.995,237468,0.954,2.77,0.037,0.006,0.0,0.0
0,4294967295,28,46,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,dynamic,MIX_AIC,1789303602264279.051	,12.720,133.700000,8,16,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,11.257,148597,24.525,4.088,0.139,0.223,0.0,0.0,8.61,227295,0.997,2.894,0.039,0.006,0.0,0.0
