Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1789312625240751.171	,1789312625240751.171
0,N/A,MEMCPY_ASYNC,46,0,2.599,1789312625248463.397	,1789312625248465.997
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,16.099,1789312625249508.196	,1789312625249524.296
0,N/A,MEMCPY_ASYNC,46,2,1.199,1789312625249561.575	,1789312625249562.775
0,N/A,MEMCPY_ASYNC,46,3,2.599,1789312625249654.953	,1789312625249657.553
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,15.199,1789312625249663.173	,1789312625249678.373
0,N/A,MEMCPY_ASYNC,46,5,0.599,1789312625249679.533	,1789312625249680.133
0,N/A,MEMCPY_ASYNC,46,6,2.619,1789312625249742.592	,1789312625249745.212
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,12.379,1789312625249750.432	,1789312625249762.811
0,N/A,MEMCPY_ASYNC,46,8,0.599,1789312625249763.751	,1789312625249764.351
0,N/A,MEMCPY_ASYNC,46,9,2.599,1789312625249832.790	,1789312625249835.390
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,11.039,1789312625249840.590	,1789312625249851.630
0,N/A,MEMCPY_ASYNC,46,11,0.599,1789312625249852.669	,1789312625249853.269
0,N/A,MEMCPY_ASYNC,46,12,2.619,1789312625249944.108	,1789312625249946.728
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,13,11.239,1789312625249952.048	,1789312625249963.287
0,N/A,MEMCPY_ASYNC,46,14,0.619,1789312625249964.127	,1789312625249964.747
0,N/A,MEMCPY_ASYNC,46,15,2.579,1789312625250062.865	,1789312625250065.445
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,16,9.959,1789312625250070.705	,1789312625250080.665
0,N/A,MEMCPY_ASYNC,46,17,0.599,1789312625250081.585	,1789312625250082.185
0,N/A,MEMCPY_ASYNC,46,18,2.579,1789312625250182.983	,1789312625250185.563
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,19,9.939,1789312625250190.603	,1789312625250200.543
0,N/A,MEMCPY_ASYNC,46,20,0.599,1789312625250201.483	,1789312625250202.083
0,N/A,MEMCPY_ASYNC,46,21,2.599,1789312625250297.121	,1789312625250299.721
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,22,9.819,1789312625250304.620	,1789312625250314.440
0,N/A,MEMCPY_ASYNC,46,23,0.599,1789312625250315.520	,1789312625250316.120
0,N/A,MEMCPY_ASYNC,46,24,2.599,1789312625250415.218	,1789312625250417.818
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,25,10.259,1789312625250422.778	,1789312625250433.038
0,N/A,MEMCPY_ASYNC,46,26,0.599,1789312625250434.278	,1789312625250434.878
0,N/A,MEMCPY_ASYNC,46,27,2.599,1789312625250528.836	,1789312625250531.436
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,28,10.239,1789312625250536.716	,1789312625250546.956
0,N/A,MEMCPY_ASYNC,46,29,0.599,1789312625250547.616	,1789312625250548.216
0,N/A,MEMCPY_ASYNC,46,30,2.619,1789312625250644.054	,1789312625250646.674
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,31,10.119,1789312625250651.854	,1789312625250661.973
0,N/A,MEMCPY_ASYNC,46,32,0.599,1789312625250662.713	,1789312625250663.313
0,N/A,MEMCPY_ASYNC,46,33,2.599,1789312625250764.031	,1789312625250766.631
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,34,9.899,1789312625250772.331	,1789312625250782.231
0,N/A,MEMCPY_ASYNC,46,35,0.599,1789312625250783.191	,1789312625250783.791
0,N/A,MEMCPY_ASYNC,46,36,2.599,1789312625250879.249	,1789312625250881.849
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,37,9.959,1789312625250887.429	,1789312625250897.389
0,N/A,MEMCPY_ASYNC,46,38,0.599,1789312625250898.329	,1789312625250898.929
0,N/A,MEMCPY_ASYNC,46,39,2.619,1789312625250994.727	,1789312625250997.347
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,40,9.719,1789312625251002.567	,1789312625251012.286
0,N/A,MEMCPY_ASYNC,46,41,0.599,1789312625251013.446	,1789312625251014.046
0,N/A,MEMCPY_ASYNC,46,42,2.579,1789312625251109.864	,1789312625251112.444
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,43,10.199,1789312625251117.744	,1789312625251127.944
0,N/A,MEMCPY_ASYNC,46,44,0.619,1789312625251128.584	,1789312625251129.204
0,N/A,PROFILING_DISABLE,49,4,0.020,1789312625252355.199	,1789312625252355.219
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1789312625252407.138	,1789312625252407.158
