Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1789312667459572.007	,1789312667459572.027
0,N/A,MEMCPY_ASYNC,46,0,2.579,1789312667466660.525	,1789312667466663.105
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,16.179,1789312667467665.045	,1789312667467681.225
0,N/A,MEMCPY_ASYNC,46,2,1.199,1789312667467717.364	,1789312667467718.564
0,N/A,MEMCPY_ASYNC,46,3,2.579,1789312667467838.581	,1789312667467841.161
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,14.379,1789312667467846.641	,1789312667467861.021
0,N/A,MEMCPY_ASYNC,46,5,0.619,1789312667467861.761	,1789312667467862.381
0,N/A,MEMCPY_ASYNC,46,6,2.579,1789312667467926.500	,1789312667467929.080
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,12.199,1789312667467934.479	,1789312667467946.679
0,N/A,MEMCPY_ASYNC,46,8,0.599,1789312667467947.799	,1789312667467948.399
0,N/A,MEMCPY_ASYNC,46,9,2.599,1789312667468016.418	,1789312667468019.018
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,11.519,1789312667468024.058	,1789312667468035.577
0,N/A,MEMCPY_ASYNC,46,11,0.599,1789312667468036.757	,1789312667468037.357
