Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1789312904333694.268	,1789312904333694.268
0,N/A,MEMCPY_ASYNC,46,0,2.599,1789312904341123.220	,1789312904341125.820
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,33.619,1789312904342171.699	,1789312904342205.318
0,N/A,MEMCPY_ASYNC,46,2,1.179,1789312904342220.358	,1789312904342221.538
0,N/A,MEMCPY_ASYNC,46,3,2.639,1789312904342315.416	,1789312904342318.056
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,30.159,1789312904342323.416	,1789312904342353.575
0,N/A,MEMCPY_ASYNC,46,5,0.559,1789312904342354.355	,1789312904342354.915
0,N/A,MEMCPY_ASYNC,46,6,2.639,1789312904342558.191	,1789312904342560.831
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,29.539,1789312904342566.391	,1789312904342595.931
0,N/A,MEMCPY_ASYNC,46,8,0.559,1789312904342596.770	,1789312904342597.330
0,N/A,MEMCPY_ASYNC,46,9,2.619,1789312904342666.049	,1789312904342668.669
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,30.659,1789312904342674.169	,1789312904342704.828
0,N/A,MEMCPY_ASYNC,46,11,0.559,1789312904342705.728	,1789312904342706.288
0,N/A,MEMCPY_ASYNC,46,12,2.619,1789312904342774.027	,1789312904342776.647
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,13,30.479,1789312904342782.027	,1789312904342812.506
0,N/A,MEMCPY_ASYNC,46,14,0.559,1789312904342813.606	,1789312904342814.166
0,N/A,MEMCPY_ASYNC,46,15,2.619,1789312904342908.684	,1789312904342911.304
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,16,31.239,1789312904342916.164	,1789312904342947.403
0,N/A,MEMCPY_ASYNC,46,17,0.539,1789312904342948.363	,1789312904342948.903
0,N/A,MEMCPY_ASYNC,46,18,2.619,1789312904343050.241	,1789312904343052.861
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,19,30.919,1789312904343057.941	,1789312904343088.861
0,N/A,MEMCPY_ASYNC,46,20,0.559,1789312904343089.541	,1789312904343090.101
0,N/A,MEMCPY_ASYNC,46,21,2.619,1789312904343186.159	,1789312904343188.779
