Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,787.18,1,787.18,787.18,787.18,0
host,acl,aclrtCreateStream,1515.74,1,1515.74,1515.74,1515.74,0
host,acl,aclrtDestroyStream,829.62,1,829.62,829.62,829.62,0
host,acl,aclrtFree,9.39,3,3.13,1.63,5.94,3.954
host,acl,aclrtGetDeviceInfo,9.62,2,4.81,3.23,6.39,2.496
host,acl,aclrtLaunchKernelWithHostArgs,324.61,1,324.61,324.61,324.61,0
host,acl,aclrtMalloc,91.06,4,22.765,1.59,80.31,1108.784
host,acl,aclrtMemcpy,186.09,6,31.015,14.18,62.42,292.693
host,acl,aclrtMemcpyAsync,8.59,1,8.59,8.59,8.59,0
host,acl,aclrtMemsetAsync,27,1,27,27,27,0
host,acl,aclrtResetDevice,476796,1,476796,476796,476796,0
host,acl,aclrtSynchronizeStream,16.09,2,8.045,1.5,14.59,42.837
host,node,launch,1278.52,1,1278.52,1278.52,1278.52,0
