Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,749.1,1,749.1,749.1,749.1,0
host,acl,aclrtCreateStream,857.75,1,857.75,857.75,857.75,0
host,acl,aclrtDestroyStream,846.36,1,846.36,846.36,846.36,0
host,acl,aclrtFree,10.07,3,3.357,1.67,6.25,4.224
host,acl,aclrtGetDeviceInfo,10.32,2,5.16,3.88,6.44,1.638
host,acl,aclrtLaunchKernelWithHostArgs,318.71,1,318.71,318.71,318.71,0
host,acl,aclrtMalloc,102.88,4,25.72,1.8,83.63,1148.126
host,acl,aclrtMemcpy,158,6,26.333,13.43,39.51,110.561
host,acl,aclrtMemcpyAsync,8.61,1,8.61,8.61,8.61,0
host,acl,aclrtMemsetAsync,20.96,1,20.96,20.96,20.96,0
host,acl,aclrtResetDevice,473353.36,1,473353.36,473353.36,473353.36,0
host,acl,aclrtSynchronizeStream,20.63,2,10.315,1.41,19.22,79.299
host,node,launch,1232.54,1,1232.54,1232.54,1232.54,0
