Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,876.52,1,876.52,876.52,876.52,0
host,acl,aclrtCreateStream,1458.93,1,1458.93,1458.93,1458.93,0
host,acl,aclrtDestroyStream,818.01,1,818.01,818.01,818.01,0
host,acl,aclrtFree,10.05,3,3.35,1.81,6.09,3.773
host,acl,aclrtGetDeviceInfo,10.96,2,5.48,4.12,6.84,1.85
host,acl,aclrtLaunchKernelWithHostArgs,341.03,1,341.03,341.03,341.03,0
host,acl,aclrtMalloc,96.64,4,24.16,1.82,80.64,1080.509
host,acl,aclrtMemcpy,178.81,6,29.802,14.19,38.12,83.275
host,acl,aclrtMemcpyAsync,8.35,1,8.35,8.35,8.35,0
host,acl,aclrtMemsetAsync,25.36,1,25.36,25.36,25.36,0
host,acl,aclrtResetDevice,472620.33,1,472620.33,472620.33,472620.33,0
host,acl,aclrtSynchronizeStream,15.39,2,7.695,1.55,13.84,37.761
host,node,launch,1379.62,1,1379.62,1379.62,1379.62,0
