Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,921.86,1,921.86,921.86,921.86,0
host,acl,aclrtCreateStream,1470.35,1,1470.35,1470.35,1470.35,0
host,acl,aclrtDestroyStream,835,1,835,835,835,0
host,acl,aclrtFree,10.68,3,3.56,1.91,6.75,5.09
host,acl,aclrtGetDeviceInfo,10.35,2,5.175,3.81,6.54,1.863
host,acl,aclrtLaunchKernelWithHostArgs,360.27,1,360.27,360.27,360.27,0
host,acl,aclrtMalloc,94.68,4,23.67,1.77,79.03,1037.029
host,acl,aclrtMemcpy,161.31,6,26.885,14.24,41.71,117.634
host,acl,aclrtMemcpyAsync,8.2,1,8.2,8.2,8.2,0
host,acl,aclrtMemsetAsync,22.42,1,22.42,22.42,22.42,0
host,acl,aclrtResetDevice,474247.72,1,474247.72,474247.72,474247.72,0
host,acl,aclrtSynchronizeStream,16.61,2,8.305,1.46,15.15,46.854
host,node,launch,1446.43,1,1446.43,1446.43,1446.43,0
