Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,909.25,1,909.25,909.25,909.25,0
host,acl,aclrtCreateStream,1228.65,1,1228.65,1228.65,1228.65,0
host,acl,aclrtDestroyStream,834.94,1,834.94,834.94,834.94,0
host,acl,aclrtFree,10.66,3,3.553,1.78,6.6,4.683
host,acl,aclrtGetDeviceInfo,9.76,2,4.88,3.19,6.57,2.856
host,acl,aclrtLaunchKernelWithHostArgs,322.08,1,322.08,322.08,322.08,0
host,acl,aclrtMalloc,91.93,4,22.982,1.83,80.1,1093.32
host,acl,aclrtMemcpy,169.68,6,28.28,14.13,45.08,153.445
host,acl,aclrtMemcpyAsync,8.96,1,8.96,8.96,8.96,0
host,acl,aclrtMemsetAsync,25.66,1,25.66,25.66,25.66,0
host,acl,aclrtResetDevice,483546.43,1,483546.43,483546.43,483546.43,0
host,acl,aclrtSynchronizeStream,19.79,2,9.895,1.67,18.12,67.651
host,node,launch,1394.9,1,1394.9,1394.9,1394.9,0
